movesteps,movesteps
turnrightdegrees,turnright
turnleftdegrees,turnleft
pointindirection,pointindirection
waitseconds,wait
repeat,repeat
forever,forever
ifthen,_if
ifthenelse,_if_else
waituntil,wait_until
repeatuntil,repeat_until
repeat,repeat
stop,stop
islessthan,less_than
isgreaterthan,greater_than
equals,equals
and,_and
or,_or
not,_not
addand,add
subtractand,subtract
mutiply,multiply
divideand,divide
pickrandomto,random
mod,mod
round,round
of,mathop
join,join
letterof,letter_of
lengthof,length
contains?,contains
setto,setvariableto
changeby,changevariableby
